system:index,urban_class,.geo
"4276,1584_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83290798484818,28.46749551641251]}"
"4277,1584_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85127885153139,28.46749551641251]}"
"4278,1584_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86856907899792,28.46749551641251]}"
"4279,1584_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88693994568112,28.46749551641251]}"
"4280,1584_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.90423017314767,28.46749551641251]}"
"4281,1584_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92260103983088,28.46749551641251]}"
"4282,1584_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94097190651408,28.46749551641251]}"
"4283,1584_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95826213398063,28.46749551641251]}"
"4284,1584_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97663300066382,28.46749551641251]}"
"4285,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99500386734702,28.46749551641251]}"
"4286,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01229409481357,28.46749551641251]}"
"4287,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0306649614968,28.46749551641251]}"
"4288,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04795518896333,28.46749551641251]}"
"4289,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06632605564653,28.46749551641251]}"
"4290,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08469692232974,28.46749551641251]}"
"4291,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10198714979627,28.46749551641251]}"
"4292,1584_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12035801647947,28.46749551641251]}"
